text,Label,Language
mungsa wanana kwrwi  we will do something,code-mix,English-Kokborok
are  come to the point,Monolingual,English
ang rignai kannai nini dayo,Monolingual,Kokborok
salsale nwngbo ani bagwi think khanai,code-mix,English-Kokborok
nini class ti buphuri simi start ongnai,code-mix,English-Kokborok
tini class thangliya feeling boaring.,code-mix,English-Kokborok
tini college kwrwi  its holiday,code-mix,English-Kokborok
nwng chemistry ni homework da khwlaikha,code-mix,English-Kokborok
ang math subject belaikha tough wngjago,code-mix,English-Kokborok
nini classni note ano kisa rwida mano,code-mix,English-Kokborok
study hard  exam belai ganakha,code-mix,English-Kokborok
nung exam ni form fill up da khwalaikha,code-mix,English-Kokborok
nongni class o khorok bwswk students tong,code-mix,English-Kokborok
nini college hamya.,code-mix,English-Kokborok
tini college bus thirty minutes late wngkha,code-mix,English-Kokborok
nongni college o tamo tamo department tong,code-mix,English-Kokborok
bwswk hakchal oroni simi nini college,code-mix,English-Kokborok
tina  tini college thangya pho  not feeling well,code-mix,English-Kokborok
sir ang mang makhwlaio  no one is taking serious,code-mix,English-Kokborok
chwng tini tuition phailiya sir,code-mix,English-Kokborok
what is the problem  phalaidi.,code-mix,English-Kokborok
enjoyment ulo khwlaidi  tabuk studies o serious wnglaidi,code-mix,English-Kokborok
project complete da wngkha,code-mix,English-Kokborok
nini bike ano kisa rwgradi for two days.,code-mix,English-Kokborok
tamoni bagwi nwng aswk upset,code-mix,English-Kokborok
nini friend lomwi tongkha.,code-mix,English-Kokborok
prokshid rwdi ani bagwi.,code-mix,English-Kokborok
auto reserve khwlaimani phase phailiya,code-mix,English-Kokborok
nini phone o riyani numberda tong,code-mix,English-Kokborok
nini sim tamo vodafone  da airtel.,code-mix,English-Kokborok
college phaikhe ano wait khai di,code-mix,English-Kokborok
tini canteen o chamung chalainai do,code-mix,English-Kokborok
college paikhe  big bazaro thanglainai do,code-mix,English-Kokborok
miya horo full moon nukjakha,code-mix,English-Kokborok
nwng ani friendya,code-mix,English-Kokborok
tini ni speaker kok kahamkhe sakha  very meaningful,code-mix,English-Kokborok
solo song present khwlainai any tini church o,code-mix,English-Kokborok
"i never thought, bo omohai ongnai hwnwi",code-mix,English-Kokborok
tamoni bagwi borog bulaikha? what is the reason,code-mix,English-Kokborok
bo floor o nwng tong,code-mix,English-Kokborok
bo colour no nwng chajak abono choose khwlaidi,code-mix,English-Kokborok
o colour belai dark,code-mix,English-Kokborok
colour  no kaham khwlai mixed khwlaidi,code-mix,English-Kokborok
o colour ni bwswk price wngkha,code-mix,English-Kokborok
colour naithokyakha  tanadi,code-mix,English-Kokborok
tamo tamo colour nang,code-mix,English-Kokborok
"amo khe red, amok he green amok he blue",code-mix,English-Kokborok
colour combination khapchayakhu naithokya,code-mix,English-Kokborok
nwngle bo colour no naithokjak,code-mix,English-Kokborok
nini chocolate bai ani banana swlailainai,code-mix,English-Kokborok
nini behavior ang chajakya,code-mix,English-Kokborok
ang ani chwraino doctor o poririnai,code-mix,English-Kokborok
nini eyes boro angsala,code-mix,English-Kokborok
nini ears boro angsala,code-mix,English-Kokborok
ani sajla  chwla kaham  good boy,code-mix,English-Kokborok
ang bujiyakhu  repeat khwlai gradi,code-mix,English-Kokborok
tamo wng belai proud to wngde,code-mix,English-Kokborok
keboni thani rwchapmungni track tongkhe ano kisa rwjadi please,code-mix,English-Kokborok
hello everyone kahamda tongbai norog,code-mix,English-Kokborok
happy new yearni kha kaham yapharo,code-mix,English-Kokborok
jotonono hambai tei chibai yapharu. christmas ni bagwi,code-mix,English-Kokborok
ano use ta khwlaidi,code-mix,English-Kokborok
boni friend rog bono used khwlai tongo,code-mix,English-Kokborok
wish you all a happy tring in advance non obo happy tring,code-mix,English-Kokborok
kiri kha angle bono  aswkda danger,code-mix,English-Kokborok
o group o chini dsp kishore debbarma da tong,code-mix,English-Kokborok
nothing madam. bumung riyakheno chao.,code-mix,English-Kokborok
adc o teibo power phaitongo,code-mix,English-Kokborok
nwng church o thangnaida,code-mix,English-Kokborok
ano call khwlaigradi,code-mix,English-Kokborok
nwng miss call da khwlai,code-mix,English-Kokborok
mohini first class o pass wngkha,code-mix,English-Kokborok
rahul bike accident wngwi thwikha,code-mix,English-Kokborok
compare ta khwlaidi,code-mix,English-Kokborok
o meeting buphuru rogo painai,code-mix,English-Kokborok
contractor license khwlainani document tamo tamo nang,code-mix,English-Kokborok
chini generations trend day by dayswlaijagwi tongkha,code-mix,English-Kokborok
nini responsibility no nwng sakthardi,code-mix,English-Kokborok
kisa judgement khlaidi,code-mix,English-Kokborok
ang miyase online registration khwlaikhu,code-mix,English-Kokborok
"tinile kwpal hamyano wngkha adhaar card  passport, rang kwmawi thangkha",code-mix,English-Kokborok
nini picture naithok kha,code-mix,English-Kokborok
nini medical report da mankha,code-mix,English-Kokborok
pa..o screen belaino naithok kha,code-mix,English-Kokborok
borono compare khwlaidi sabo loke,code-mix,English-Kokborok
nini group rog boro,code-mix,English-Kokborok
ani cell phone used khwlai manliya,code-mix,English-Kokborok
team ni yagose bahaikhe borog event no arrange khwlainai,code-mix,English-Kokborok
o question belai kutuk,code-mix,English-Kokborok
bwswk answer rwkha,code-mix,English-Kokborok
multiple choice da rwiphaikha,code-mix,English-Kokborok
total bwswk question tongkhamo,code-mix,English-Kokborok
question number seven ang rwi manliya,code-mix,English-Kokborok
"he is from kami kwtal, near gandachara",code-mix,English-Kokborok
biplab no aswk khahamjago tei praise khwlaio,code-mix,English-Kokborok
common borokrog call khwlaikhe yachakna time kwrwi wngjak mano,code-mix,English-Kokborok
kisa advance wansuk di,code-mix,English-Kokborok
buphuruni simi  seven pay commission rwjaknai,code-mix,English-Kokborok
kwpal hamya chwngle pay review sudase manlangliya,code-mix,English-Kokborok
nwng expert wngkha,code-mix,English-Kokborok
nini mokol kwrwi  dd news channel o naidi,code-mix,English-Kokborok
ani nokbisingo signal hamyani whatsapp thwngwi manya,code-mix,English-Kokborok
nwng lachiyada  to come here,code-mix,English-Kokborok
tamoni bagwi aswk serious,code-mix,English-Kokborok
auto driver no call ,Monolingual,English
tini kebo agartala o thangnaida tong  kindly informed me,code-mix,English-Kokborok
"ani rang kwmawi thangkha, yesterday",code-mix,English-Kokborok
tini watwi phaimangno weather hamya,code-mix,English-Kokborok
earthquake phaimani sawida man,code-mix,English-Kokborok
nini thanio hundred rupeesni change da tong,code-mix,English-Kokborok
ano two thousand rang lakai rwgradi,code-mix,English-Kokborok
nini family o bwswk number tong,code-mix,English-Kokborok
rent house naitokmanise manliya,code-mix,English-Kokborok
abo rent house belaikhe morok,code-mix,English-Kokborok
house owner aswk hamya,code-mix,English-Kokborok
o meeting ni agenda tamo,code-mix,English-Kokborok
jotono line by line bachakhe hamnai,code-mix,English-Kokborok
tamo order rwnai pizza da noodle,code-mix,English-Kokborok
abo manwirog kahamkhe pack khwlaidi,code-mix,English-Kokborok
"nini preparation bahai, bank examni bagwi",code-mix,English-Kokborok
tinile ani grandmother no visit makhwlainai,code-mix,English-Kokborok
miya horo ani grandmother pass away,code-mix,English-Kokborok
one week wnkha hospital o admit wngmani,code-mix,English-Kokborok
ang select wngkha,code-mix,English-Kokborok
assignment rwyakhe punishment mania hwnw,code-mix,English-Kokborok
"presentation rwyakhe, mark deducted khwlainai hwnw",code-mix,English-Kokborok
nongni group leader sabo,code-mix,English-Kokborok
ice cream chanai  ama please,code-mix,English-Kokborok
football tournament start wngnai next week,code-mix,English-Kokborok
tamo problem,code-mix,English-Kokborok
sabo sabo farewell program  o thangnai,code-mix,English-Kokborok
nini rang tongo hwnwi pick up ta phunuk di,code-mix,English-Kokborok
tini bwswk class tongkhamo,code-mix,English-Kokborok
chini group ni kebo rang chubanaida tong,code-mix,English-Kokborok
town o tongkhe town  ni borokno chubadi,code-mix,English-Kokborok
just thirty minutes swkang kamini current swnamlai kha,code-mix,English-Kokborok
sinijak wnga over confidence.,code-mix,English-Kokborok
"brother, ukologo bachajak bura masao bwrwini sabo",code-mix,English-Kokborok
highway o car punchare wngwi mechanic manya lengsok kha,code-mix,English-Kokborok
ang charinai sure kfc  this time,code-mix,English-Kokborok
nrc demand khwlaikha hwnwi sao,code-mix,English-Kokborok
good  next time taibo kaham score khwlaina naidi,code-mix,English-Kokborok
tamoni bagwi meeting attend khwlailiyasa,code-mix,English-Kokborok
nothing  i mean bwrwi kahamda,code-mix,English-Kokborok
"nothing, i mean nwng tamo khwlai tong",code-mix,English-Kokborok
joto member rogno koio photo no  status update khwlaidi.,code-mix,English-Kokborok
kisa pray khwlai jabaidi ani exam next week ni simi,code-mix,English-Kokborok
kaham khe tonglaidi god bless you,code-mix,English-Kokborok
chopa  congratulation,code-mix,English-Kokborok
meetingni out come tamo wngkha,code-mix,English-Kokborok
meeting tini horo wngnai,code-mix,English-Kokborok
anile duty tongo,code-mix,English-Kokborok
nwng application  da rwkha principal sir no,code-mix,English-Kokborok
saturday o kebo office o phaiya,code-mix,English-Kokborok
ani file boro thangkha,code-mix,English-Kokborok
breaking news miya horo korbook ni mla bujak kha hwnw,code-mix,English-Kokborok
maximum engineering students say kwbang unemployee,code-mix,English-Kokborok
kumui nung tabuk free da,code-mix,English-Kokborok
taibo tongnai it is just started,code-mix,English-Kokborok
tamo salaikha anobo kisa share khwlaidi,code-mix,English-Kokborok
tabukda bo sicha bishing bishing tamo wngwi tong. anyway we should be with them.,code-mix,English-Kokborok
class ni assignment tabukbo ang khwlai manyakhu,code-mix,English-Kokborok
flight ticketda booking khwlaikha,code-mix,English-Kokborok
bo month o nwng phainai,code-mix,English-Kokborok
next program buphuruni simi chengnai,code-mix,English-Kokborok
date fixed khwlaidi ang phainai,code-mix,English-Kokborok
nung gari driveda khwlaina rwng,code-mix,English-Kokborok
five years wngkha  tabuk bo ang para thangwi manyakhu,code-mix,English-Kokborok
rangda deposit khwlaikha,code-mix,English-Kokborok
nini sbi bank accountda tong  kwrwi khe apply khwlaidi,code-mix,English-Kokborok
bank ni challanda tan kha,code-mix,English-Kokborok
five thousands rang withdraw makhwlainai tini,code-mix,English-Kokborok
"bazaar-ni tanmo tamo tubunai  potato, onion hwngkha tamo",code-mix,English-Kokborok
watwi phaimang phaimang town flood wngwi thangkha,code-mix,English-Kokborok
current bo phailiya two days wngkha,code-mix,English-Kokborok
current department  no call khwlaidi,code-mix,English-Kokborok
sabo tini agartala thangnai,code-mix,English-Kokborok
chicken briyani order khwlai chalainai tini,code-mix,English-Kokborok
nini understanding bai buini understanding different tongo,code-mix,English-Kokborok
"nokni tala lock khwlaijak, chabi boro",code-mix,English-Kokborok
kaham khe infrastructure kwrwi,code-mix,English-Kokborok
jotono damage khwlaijak,code-mix,English-Kokborok
bwswk rang spend khwlaikha tini,code-mix,English-Kokborok
tini train one hour late,code-mix,English-Kokborok
time gothokliya,code-mix,English-Kokborok
kok sakhe kisa time no maintain khwlaidi,code-mix,English-Kokborok
bwswk hour ang kok sawi mannai,code-mix,English-Kokborok
thirty minutes ni ulo lunch break wngnai,code-mix,English-Kokborok
total collection bwswk phaikha,code-mix,English-Kokborok
tini offering tongo sarikni youth fellowship o,code-mix,English-Kokborok
chini new president bai vice president sabo,code-mix,English-Kokborok
christmas ni decoration khwlai tongo,code-mix,English-Kokborok
christmas ni program schedule da mankha,code-mix,English-Kokborok
total bwswk program collect wngkha,code-mix,English-Kokborok
bo tei change wnglak,code-mix,English-Kokborok
tamo arrange marriage or love marriage,code-mix,English-Kokborok
chini madam chini group o tongo,code-mix,English-Kokborok
may be chini group ni khoroksaswk bibi close friend wngna,code-mix,English-Kokborok
sabo sabo screenshot share khwlai,code-mix,English-Kokborok
facebook o da screenshot share khwlai,code-mix,English-Kokborok
abo thikno  but bono sabo screenshot rohor,code-mix,English-Kokborok
ang call khwlaimani bo a borokni bwomung saya,code-mix,English-Kokborok
call cut khwlai rwkha,code-mix,English-Kokborok
taiwaisa khwlaiphuru busy mankha,code-mix,English-Kokborok
bo ani line cut khwlai rwkha,code-mix,English-Kokborok
tabuk boto chini group o kwrwi,code-mix,English-Kokborok
without proper registration kebono ohaino group o involved takhwlaidi,code-mix,English-Kokborok
but chini group ni rule and regulation o sajak tongo that.,code-mix,English-Kokborok
bini intention tamo  positive da negative,code-mix,English-Kokborok
chini grou ni rule ni against,code-mix,English-Kokborok
but amohai wngkheto wrong,code-mix,English-Kokborok
chwngbo check khwlaimano result,code-mix,English-Kokborok
kebo tongna kabitani friend,code-mix,English-Kokborok
tamono discussed khwlai tong,code-mix,English-Kokborok
nothing is going to get solve  naidi,code-mix,English-Kokborok
what do you think change wngnai,code-mix,English-Kokborok
problem create ta khwlaidi,code-mix,English-Kokborok
nini hand writing belai naithok kha,code-mix,English-Kokborok
ani pen bai  copy boro,code-mix,English-Kokborok
ano pickup khwlai phaigradi  auto manya wngwi tongkha.,code-mix,English-Kokborok
ano tanasingdi you can go,code-mix,English-Kokborok
i think something is wrong hayada,code-mix,English-Kokborok
how do you know my name  keboda nono sa,code-mix,English-Kokborok
aro parking ta khwlaidi,code-mix,English-Kokborok
nwng belai careless,code-mix,English-Kokborok
relationship kaham wngyakhe  problems tongo life o.,code-mix,English-Kokborok
understanding belaikha nango  relationship strong wngnkhe,code-mix,English-Kokborok
mis understanding create wngkhe tikiya,code-mix,English-Kokborok
misunderstanding  no solve khwlainakhe  discuss khwlaina nango,code-mix,English-Kokborok
jotono same treate khwlaidi,code-mix,English-Kokborok
unity tongkhe world no change khwlai mano,code-mix,English-Kokborok
give up ta khwlaidi try again,code-mix,English-Kokborok
hot tempare ta wngdi controlled it,code-mix,English-Kokborok
joto manwi smooth thangya  kis misa problem phainaino,code-mix,English-Kokborok
nwng saimanglak  nung face khwlaiya ble,code-mix,English-Kokborok
khwna morning  o it tution da tong,code-mix,English-Kokborok
nini car fare busuk?,code-mix,English-Kokborok
education loan tabuk mangno higher studies ni bagoi,code-mix,English-Kokborok
nini car insurance da khaijak kha?,code-mix,English-Kokborok
sabo no wait khai tong.,code-mix,English-Kokborok
tamo no wait khai tong.,code-mix,English-Kokborok
nini work pending ongwoi tong kha,code-mix,English-Kokborok
two days ni besing-o complete khai di,code-mix,English-Kokborok
norok tini porainai da? confirm khlai di,code-mix,English-Kokborok
nung calculation da khai kha?,code-mix,English-Kokborok
case mang ongwoi tong-o,code-mix,English-Kokborok
please kebo help khaidi tini,code-mix,English-Kokborok
school authority se belai rude.,code-mix,English-Kokborok
demand full fill da ongkha?,code-mix,English-Kokborok
kebo digital electronics ni assignment khaikha da?,code-mix,English-Kokborok
aro teacher tong-o bising nangnungya text ta khai di.,code-mix,English-Kokborok
"khwna sir no sanai, to explain me again.",code-mix,English-Kokborok
good morning jotono.,code-mix,English-Kokborok
tuesday bai thursday simi say chini tuition.,code-mix,English-Kokborok
norok se swkang contact khlaina nango.,code-mix,English-Kokborok
ani continuous post regarding kokborok ni kisa effect klaikhna. no comments,code-mix,English-Kokborok
phiya tabuk bo confirmed wngyakho,code-mix,English-Kokborok
by evening bo angno details sahornai,code-mix,English-Kokborok
"aswk kotorma success abose, no any news.",code-mix,English-Kokborok
on news porewi ang tamongwi jani belaino munuinani muchwngkha.,code-mix,English-Kokborok
kwtal kwtal organization mang tabuk,code-mix,English-Kokborok
da raja ani roommate waisa ano sama kok samase muito manno.,code-mix,English-Kokborok
tabuk sana muchugo chini bising-o no enenmy tongo.,code-mix,English-Kokborok
kabo support khaiya,code-mix,English-Kokborok
"the mahabharat epic was written around 400-500 bc, hwnkai wangsogoi naibaidi.",code-mix,English-Kokborok
"hambai, share your friends",code-mix,English-Kokborok
udaipur ni peratiya ow bike accidents wng kha pho tiprasa chwla by bwrwi. kebo hospital tilang nai krwi pho.,code-mix,English-Kokborok
"kubwi kok no sakha, brother you are great.",code-mix,English-Kokborok
"good new to see our brothers selling wahang mosodeng, bangiuw, etc",code-mix,English-Kokborok
paa sobo party resa?,code-mix,English-Kokborok
tabuk ang salsaswk yoyo ni program attend khainai.,code-mix,English-Kokborok
nwng hai officer chwng teibo nang-o,code-mix,English-Kokborok
"ang official programme-o kok saphuru, chini chief guest khnawoi tong-o",code-mix,English-Kokborok
ice cream manthokya,code-mix,English-Kokborok
"this conversion is going so far, ang yakar kha.",code-mix,English-Kokborok
"brother ram , counter attack khlainai de o post-no?",code-mix,English-Kokborok
chwngno belai norom manjak kha..i think so,code-mix,English-Kokborok
"missing berma, akran from the list.",code-mix,English-Kokborok
cross check khaidi,code-mix,English-Kokborok
next time akran committee sure.,code-mix,English-Kokborok
this is serious issue. our borom gwnang takhu should take up this matter.,code-mix,English-Kokborok
oh scheme-o chwla rok ni mung kwrui da?,code-mix,English-Kokborok
sent khaidi joto no.,code-mix,English-Kokborok
omo tamo ongma kwlai kha? very strange.,code-mix,English-Kokborok
kisa romwi jail-o rwnani help khwlai baijadi please.,code-mix,English-Kokborok
tabok khe khaklap ni pocket sodo se pong glak kha.,code-mix,English-Kokborok
"arree 2016 ni simi calculations khai nai mani, bosta ready khai jak tong mani, no used.",code-mix,English-Kokborok
"tai tamo sanai sir, haino ongsinai ta.",code-mix,English-Kokborok
da bisu udp ni release de mankha?,code-mix,English-Kokborok
abo hai baseless news rokno swng. bahai khai believe khai nai.,code-mix,English-Kokborok
bo level ni employee ni kok sakha?,code-mix,English-Kokborok
"ulo abo revised wngwui 21,000 wng kha.",code-mix,English-Kokborok
khakhai-o ani takhu song safely nogo sokbaikhana.,code-mix,English-Kokborok
"kok nangya kok no post ta khwlai di, usesless",code-mix,English-Kokborok
o committee song bai manlainani society ni kuno programme de tong?,code-mix,English-Kokborok
kok borok bai se application swilai sinai.,code-mix,English-Kokborok
financial help ni kok bini family sada sakha?,code-mix,English-Kokborok
aboni bagwi kaisa chwng meeting-o achuk laikha chanai.,code-mix,English-Kokborok
belai kha hamya khopor.we pray to god that he get well soon.,code-mix,English-Kokborok
bini friend korok sa bono naitokgwi tongo.,code-mix,English-Kokborok
parimal debbarma hwnei korok sa engineer tabok bini posting boro? tai bini desigination tamo kebo saida mang.,code-mix,English-Kokborok
wasokthai kokno. bahaikhe dereserve khlaimanai way ruthuklaibaidi.,code-mix,English-Kokborok
musuk rok tai borok ongliya tai point-o phaileya.,code-mix,English-Kokborok
customary law bai chini bising-o taibo devision phainai.,code-mix,English-Kokborok
udaipur-o serious incident ongkha tini.,code-mix,English-Kokborok
oh collection no twowi kisa kok banglai kha.,code-mix,English-Kokborok
"media rokbo kok tesana nangkha, about this news.",code-mix,English-Kokborok
takhuk tai gukhukrok naibaidi sakani news clipping no porioi.,code-mix,English-Kokborok
democracy-o government ni kok khwnaya wngwi tongkhai abono strong protest.,code-mix,English-Kokborok
"chung jotono chini dopha no hamjak-o, kebo deeply kebo saka saka.",code-mix,English-Kokborok
"i apologized, pheya ba ang je lama nukmani no samani se.",code-mix,English-Kokborok
aphuro khe automatic no thike ongnai.,code-mix,English-Kokborok
chini final conclusion rwnai tini.,code-mix,English-Kokborok
abo present leaders rokno chance khlaikha cha-o,code-mix,English-Kokborok
sir chini unity ni lama kesa tongkhu.,code-mix,English-Kokborok
"besi laikha, abo hair ok wngya phano unity wngman kho.",code-mix,English-Kokborok
sacrifice tai kotor seklai mani stop ma wng nai.,code-mix,English-Kokborok
meeting bai ongliya.,code-mix,English-Kokborok
aphoro kha automatic no unity ongnai.,code-mix,English-Kokborok
jeswk phono meeting khaisidi tai ongliya.,code-mix,English-Kokborok
tamo khaikhe cha share kaisabai kaisa kwlamani abono wansokmung.,code-mix,English-Kokborok
"bomotwi wansokmung sir, can you explain please.",code-mix,English-Kokborok
meeting-o phaimabai unity owngya.,code-mix,English-Kokborok
da ranjit nini kok bhalai meaningful.,code-mix,English-Kokborok
takhu nwng kaisa meeting ni arrange khaidi.,code-mix,English-Kokborok
thanks baithang thakhuk.,code-mix,English-Kokborok
unity ni lama tamo please,code-mix,English-Kokborok
sir chung tabuk tamo khwlaithai tong please comment.,code-mix,English-Kokborok
o meaning joto no saimano..nwng khe saimanya da sir?,code-mix,English-Kokborok
indeginous meaning tamo?,code-mix,English-Kokborok
as a engineer o bo nung kaham khaino saimano. abo nono kebo kutal kha sana nangya.,code-mix,English-Kokborok
kisa wansong nai di.je borok manma joro twi borok khwakha amo no khai thani chaya wngmano. but its our responsibility to drag and help them to perform their duties.,code-mix,English-Kokborok
"vote rikhaino nini responsibility paithangya, nini khaithai nung khaidi",code-mix,English-Kokborok
abo ongkha typical dopha ni mentality.,code-mix,English-Kokborok
"bwoino responsible bogwi , bokha kuno khaiya.",code-mix,English-Kokborok
"nung khai responsible ya, nung tamo khaikha ba.",code-mix,English-Kokborok
leaders rok no simi responsible rwlai na rwnglai ya,code-mix,English-Kokborok
ang ani life bak kwthalai kha.,code-mix,English-Kokborok
bo tini phung ni o panda-o manjakphaiya..he informed me that he is busy with some works.,code-mix,English-Kokborok
"khapangni takhuk tei bukhuk song kaisa kobokmung, state level nit ring kainano twi kaisa kokchap panda khlaijaknai.",code-mix,English-Kokborok
jotono phai manjakna bagwi kaija-o please.,code-mix,English-Kokborok
tamo wngkha kisa news mankhe update khlaibaidi.,code-mix,English-Kokborok
ang party bai khe kurwi please chaya swijak tong khe please ano nakardi.,code-mix,English-Kokborok
"o question no ba sabo rwsinai, anyone?",code-mix,English-Kokborok
hambai nangmani kok share khlaimani bagwi.,code-mix,English-Kokborok
please please lama ta korojadi.,code-mix,English-Kokborok
o kok ba kok tripura bai direct salai kheno wngbla sa.,code-mix,English-Kokborok
ang challenge khalidi hwnma ya.,code-mix,English-Kokborok
nung bini against o thangnai hwnwi wuansogwi man.,code-mix,English-Kokborok
chung tamo challenge khai tong?,code-mix,English-Kokborok
please amono share khlaijadi tei kuno jagao mankhe ano inform khlaijadi.,code-mix,English-Kokborok
hero sitra se naithok kurui de?,code-mix,English-Kokborok
hambai tai jotono share khwlaidi.,code-mix,English-Kokborok
tripura ni total borok bangmani busuk?,code-mix,English-Kokborok
nwng khwnamani correct no.,code-mix,English-Kokborok
anyway nung tamo khai tong tabuk?,code-mix,English-Kokborok
sorry omo gospel songya.,code-mix,English-Kokborok
ani kok ungkha chung jadi koko message chini baork ne hamkrai bagui rukhakhe aro kono banner na used ta khai de.,code-mix,English-Kokborok
"dormobai kunu culture, heritage tradition kwmaya.",code-mix,English-Kokborok
"ang kono darmo maniaya,ani darma unkha society ni bagui samung tangna ni.",code-mix,English-Kokborok
100% sure nini kaisa dormo tongo.,code-mix,English-Kokborok
tripura ha is not for one religion. tripura ha is for all religion.,code-mix,English-Kokborok
bike siko sa abo miya bike khogui kharthang kha.,code-mix,English-Kokborok
america president suda si bideshi rok no push back khaina bagwi movement khlai tongo.,code-mix,English-Kokborok
belaino samong kaham tangkha kok tripura channel chini takhuk kamal koloi.,code-mix,English-Kokborok
belaikheno kha tongthokha reward rijakma bagui.,code-mix,English-Kokborok
"film festival ni bagui chong haino hai gwdal laijak, jotoni chobamong nango.",code-mix,English-Kokborok
nini aro tini da invitation ongkha mung?,code-mix,English-Kokborok
amo ba restaurant sib le.,code-mix,English-Kokborok
jotono no hambai for the complements.,code-mix,English-Kokborok
bo school ni magazine abo? very nice.,code-mix,English-Kokborok
"kisa refreshment khaimani, after presentation.",code-mix,English-Kokborok
this bura is the president of bangladesh.,code-mix,English-Kokborok
chini takhu ni kaibwswk facebook account tong? bo account genuine saisi manliya.,code-mix,English-Kokborok
sabo ongkha oh kok hamya sanai. if you react to what he said then he becomes the winner as his aim is to disturbed you mentally.,code-mix,English-Kokborok
"lama kaham-o himnai rok ni bagwi lama kaham kerwi always difficulties will come to there way, never give up.",code-mix,English-Kokborok
"belai no chirikhok wui kabna muchung-o, very disgusting .",code-mix,English-Kokborok
further information ni bagwi naishing wo tong-o.,code-mix,English-Kokborok
ang kha khlai-o joto jani opinion share khainai honwi.,code-mix,English-Kokborok
agi chini nomenclature tamo hinui record khaijak?,code-mix,English-Kokborok
"anything they speak will be against supreme court, ang sajaknai kwrwi",code-mix,English-Kokborok
dara achuk emang ta nukdi. hinke nini hair colour taisa white ong nai sa dara.,code-mix,English-Kokborok
"treat rwbaisidi, what a good news.",code-mix,English-Kokborok
anile kwtal salary ni calculation ongphai kha. noroknile bahai tamo bwswk rok jani wngbaikha?,code-mix,English-Kokborok
chini group kebani gari driver narukjak da tong? kwhna ang para thanani with family.,code-mix,English-Kokborok
"ani bo rs.10,000 rang wngha phantok phalmani shopping khulainai.",code-mix,English-Kokborok
"aswk rang manma baise direct shopping, apply in some business instead of shopping.",code-mix,English-Kokborok
abole accurate shot rikha.,code-mix,English-Kokborok
"add khai na belai samung koto, phiya ba left wngna le belai no kwlai.",code-mix,English-Kokborok
"obo whatsapp number ya, tani kisa sa.",code-mix,English-Kokborok
"norokni views la tamo, should we continue or not?",code-mix,English-Kokborok
tini o group o kebh wakbahan bai mai chanai rag da tong?,code-mix,English-Kokborok
i know dara bo tong o muniaw bo tong-o o group-o.,code-mix,English-Kokborok
"anyway sorry ang rules break khai kha, but good night all.",code-mix,English-Kokborok
"ungnai nothing new, this are all prophecies.",code-mix,English-Kokborok
"good night, who know you hate me or you love me. khulum kha.",code-mix,English-Kokborok
